zip,primary_city,acceptable_cities,state,county
13206,Syracuse,,NY,Onondaga County
13207,Syracuse,,NY,Onondaga County
13208,Syracuse,,NY,Onondaga County
13209,Syracuse,Solvay,NY,Onondaga County
13210,Syracuse,,NY,Onondaga County
13211,Syracuse,Mattydale,NY,Onondaga County
13212,Syracuse,"N Syracuse, North Syracuse",NY,Onondaga County
13214,Syracuse,De Witt,NY,Onondaga County
13215,Syracuse,,NY,Onondaga County
13217,Syracuse,,NY,Onondaga County
13218,Syracuse,,NY,Onondaga County
13219,Syracuse,,NY,Onondaga County
13220,Syracuse,,NY,Onondaga County
13221,Syracuse,,NY,Onondaga County
13224,Syracuse,,NY,Onondaga County
13225,Syracuse,,NY,Onondaga County
13235,Syracuse,,NY,Onondaga County
13244,Syracuse,,NY,Onondaga County
13250,Syracuse,,NY,Onondaga County
13251,Syracuse,,NY,Onondaga County
13252,Syracuse,,NY,Onondaga County
13261,Syracuse,,NY,Onondaga County
13290,Syracuse,,NY,Onondaga County
13301,Alder Creek,,NY,Oneida County
13302,Altmar,,NY,Oswego County
13303,Ava,,NY,Oneida County
13304,Barneveld,,NY,Oneida County
13305,Beaver Falls,Beaver Fls,NY,Lewis County
13308,Blossvale,,NY,Oneida County
13309,Boonville,,NY,Oneida County
13310,Bouckville,,NY,Madison County
13312,Brantingham,Glenfield,NY,Lewis County
13313,Bridgewater,,NY,Oneida County
13314,Brookfield,,NY,Madison County
13315,Burlington Flats,Burlngtn Flt,NY,Otsego County
13316,Camden,,NY,Oneida County
13317,Canajoharie,Ames,NY,Montgomery County
13318,Cassville,,NY,Oneida County
13319,Chadwicks,,NY,Oneida County
13320,Cherry Valley,,NY,Otsego County
13321,Clark Mills,,NY,Oneida County
13322,Clayville,,NY,Oneida County
13323,Clinton,,NY,Oneida County
13324,Cold Brook,Ohio,NY,Herkimer County
13325,Constableville,Constablevle,NY,Lewis County
13326,Cooperstown,"Hartwick Seminary, Hrtwk Seminry",NY,Otsego County
13327,Croghan,,NY,Lewis County
13328,Deansboro,,NY,Oneida County
13329,Dolgeville,,NY,Herkimer County
13331,Eagle Bay,,NY,Herkimer County
13332,Earlville,"Lebanon, Poolville",NY,Madison County
13333,East Springfield,E Springfield,NY,Otsego County
13334,Eaton,,NY,Madison County
13335,Edmeston,,NY,Otsego County
13337,Fly Creek,,NY,Otsego County
13338,Forestport,,NY,Oneida County
13339,Fort Plain,,NY,Montgomery County
13340,Frankfort,Schuyler,NY,Herkimer County
13341,Franklin Springs,Franklin Spgs,NY,Oneida County
13342,Garrattsville,,NY,Otsego County
13343,Glenfield,,NY,Lewis County
13345,Greig,,NY,Lewis County
13346,Hamilton,,NY,Madison County
13348,Hartwick,,NY,Otsego County
13350,Herkimer,,NY,Herkimer County
13352,Hinckley,,NY,Oneida County
13353,Hoffmeister,,NY,Hamilton County
13354,Holland Patent,Holland Patnt,NY,Oneida County
13355,Hubbardsville,,NY,Madison County
13357,Ilion,,NY,Herkimer County
13360,Inlet,,NY,Hamilton County
13361,Jordanville,,NY,Herkimer County
13362,Knoxboro,,NY,Oneida County
13363,Lee Center,,NY,Oneida County
13364,Leonardsville,,NY,Madison County
13365,Little Falls,,NY,Herkimer County
13367,Lowville,Beaver River,NY,Lewis County
